ID,Name,Pos
8421,Ulm,239
8425,Alb-Donau-Kreis,240
8426,Biberach,241
8435,Bodenseekreis,242
8436,Ravensburg,243
8437,Sigmaringen,244
9161,Ingolstadt,245
9162,M�nchen,246
9163,Rosenheim,247
9171,Alt�tting,248
9172,Berchtesgadener Land,249
9173,Bad T�lz-Wolfratshausen,250
9174,Dachau,251
9175,Ebersberg,252
9176,Eichst�tt,253
9177,Erding,254
9178,Freising,255
9179,F�rstenfeldbruck,256
9180,Garmisch-Partenkirchen,257
9181,Landsberg am Lech,258
9182,Miesbach,259
9183,M�hldorf a.Inn,260
9184,M�nchen,261
9185,Neuburg-Schrobenhausen,262
9186,Pfaffenhofen a.d.Ilm,263
9187,Rosenheim,264
9188,Starnberg,265
9189,Traunstein,266
9190,Weilheim-Schongau,267
9261,Landshut,268
9262,Passau,269
9263,Straubing,270
9271,Deggendorf,271
9272,Freyung-Grafenau,272
9273,Kelheim,273
9274,Landshut,274
9275,Passau,275
9276,Regen,276
9277,Rottal-Inn,277
9278,Straubing-Bogen,278
9279,Dingolfing-Landau,279
9361,Amberg,280
9362,Regensburg,281
9363,Weiden i.d.OPf.,282
9371,Amberg-Sulzbach,283
9372,Cham,284
9373,Neumarkt i.d.OPf.,285
9374,Neustadt a.d.Waldnaab,286
9375,Regensburg,287
9376,Schwandorf,288
9377,Tirschenreuth,289
9461,Bamberg,290
9462,Bayreuth,291
9463,Coburg,292
9464,Hof,293
9471,Bamberg,294
9472,Bayreuth,295
9473,Coburg,296
9474,Forchheim,297
9475,Hof,298
9476,Kronach,299
9477,Kulmbach,300
9478,Lichtenfels,301
9479,Wunsiedel i.Fichtelgebirge,302
9561,Ansbach,303
9562,Erlangen,304
9563,F�rth,305
9564,N�rnberg,306
9565,Schwabach,307
9571,Ansbach,308
9572,Erlangen-H�chstadt,309
9573,F�rth,310
9574,N�rnberger Land,311
9575,Neustadt a.d.Aisch-Bad Windsheim,312
9576,Roth,313
9577,Wei�enburg-Gunzenhausen,314
9661,Aschaffenburg,315
9662,Schweinfurt,316
9663,W�rzburg,317
9671,Aschaffenburg,318
9672,Bad Kissingen,319
9673,Rh�n-Grabfeld,320
9674,Ha�berge,321
9675,Kitzingen,322
