08;Baden-Württemberg, Land;327277;309532;395193;512763;323477;242900;676938;740603;732937;704214;655223;752246;907690;856104;700225;1044536;1187675;11069533;167698;158823;202854;262894;167608;127685;357652;389167;381255;357312;329924;378391;460083;430118;344655;494771;490803;5501693;159579;150709;192339;249869;155869;115215;319286;351436;351682;346902;325299;373855;447607;425986;355570;549765;696872;5567840
09;Bayern;383864;361820;455220;578203;366353;272977;770917;868040;868872;849054;794825;906380;1089004;1019706;828922;1271882;1390682;13076721;196343;185301;233968;296568;188796;143374;406088;451958;449284;430039;399739;455953;551817;510762;408473;603514;571816;6483793;187521;176519;221252;281635;177557;129603;364829;416082;419588;419015;395086;450427;537187;508944;420449;668368;818866;6592928
10;Saarland;24800;23609;31231;40235;25761;19304;52859;59357;59013;57128;52121;62207;83687;87411;76552;112374;122860;990509;12650;12327;16045;20895;13407;10120;27785;31156;30591;29176;25875;30722;41372;43570;37727;53961;48780;486159;12150;11282;15186;19340;12354;9184;25074;28201;28422;27952;26246;31485;42315;43841;38825;58413;74080;504350
11;Berlin;118606;109384;132502;151676;84805;62621;200052;288455;326159;285694;230882;228955;271426;254720;199325;328669;370895;3644826;60893;56156;67985;78123;43665;32287;99848;143314;165499;146101;118256;117064;137787;128104;97227;150782;149710;1792801;57713;53228;64517;73553;41140;30334;100204;145141;160660;139593;112626;111891;133639;126616;102098;177887;221185;1852025
12;Brandenburg;64231;66368;90259;108852;62866;41545;85581;103438;152714;159344;143472;163732;218065;237367;199214;279537;335332;2511917;32938;34141;46316;56066;32599;22005;46445;53899;78131;81863;73623;83709;110350;119569;99113;133318;135375;1239460;31293;32227;43943;52786;30267;19540;39136;49539;74583;77481;69849;80023;107715;117798;100101;146219;199957;1272457
13;Mecklenburg-Vorpommern;40128;41742;56009;67006;39138;26892;60347;76233;105062;101917;87581;96622;130252;149868;133772;185230;211876;1609675;20422;21289;28673;34239;20314;14207;31669;39890;54766;53530;46543;50225;65921;74985;65936;88365;82665;793639;19706;20453;27336;32767;18824;12685;28678;36343;50296;48387;41038;46397;64331;74883;67836;96865;129211;816036
14;Sachsen;111326;112533;145756;171548;97160;68975;163653;208830;273447;264105;230500;251763;302101;320927;289001;481000;585312;4077937;57000;58019;74931;87871;50027;36147;85719;110317;143701;140012;122168;133179;154666;160910;140539;224066;230347;2009619;54326;54514;70825;83677;47133;32828;77934;98513;129746;124093;108332;118584;147435;160017;148462;256934;354965;2068318
15;Sachsen-Anhalt;54125;55201;72570;88383;51773;36377;84804;103210;135735;132517;115088;142357;179578;196063;175622;271663;313255;2208321;27753;28301;37205;45586;27109;19747;45312;54885;71575;70490;60951;74335;91315;97927;85858;126517;121813;1086679;26372;26900;35365;42797;24664;16630;39492;48325;64160;62027;54137;68022;88263;98136;89764;145146;191442;1121642
16;Thüringen;54475;56486;73410;87884;52052;35187;82795;100492;135739;134949;116575;137966;167960;186354;169531;261380;289910;2143145;27871;29091;37533;45415;26827;18812;43893;53084;71937;71711;61848;72722;85411;93130;83258;123731;114540;1060814;26604;27395;35877;42469;25225;16375;38902;47408;63802;63238;54727;65244;82549;93224;86273;137649;175370;1082331
__________
"zu ""gesamter Tabelle"":
ab dem Berichtsjahr 2011: Ergebnisse auf Grundlage des
Zensus 2011

Alle Länder: Die Entwicklung des Bevölkerungsstandes ab dem
Berichtsjahr 2016 ist aufgrund methodischer Änderungen in
den zugrunde liegenden Bevölkerungsbewegungsstatistiken nur
bedingt mit den Werten vor 2016 vergleichbar. Einschrän-
kungen bei der Genauigkeit der Ergebnisse können aus der er-
höhten Zuwanderung und den dadurch bedingten Problemen bei
der melderechtlichen Erfassung Schutzsuchender resultieren.
Baden-Württemberg (Berichtsjahr 2008-2010): Gebietsstand
01.01.2009
Baden-Württemberg (ab Berichtsjahr 2011): Gebietsstand
01.01.2011
Baden-Württemberg (31.12.2017): Abweichungen zu anderen
Veröffentlichungen ergeben sich ggf. durch nachträgliche
Korrekturen.
Berlin: Gemeindetabelle liegt bis 2013 auch für Bezirke vor
Nordrhein-Westfalen (31.12.2016): Für sechs Kommunen ist
das vorliegende Ergebnis, das u. a. auf Basis der von den
Meldebehörden erhaltenen Nachrichten ermittelt wurde, un-
plausibel. Daher ist die Genauigkeit der Ergebnisse der
übergeordneten Verwaltungsbezirke eingeschränkt. Die Gründe
hierfür liegen offenbar in der melderechtlichen Behandlung
von Schutzsuchenden. Die Unstimmigkeiten konnten nicht ab-
schließend aufgelöst werden.
Rheinland-Pfalz (ab 2011): Gebietsstand des Folgejahres
Sachsen-Anhalt (2013): Gebietsstand 01.01.2014"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2020.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 24.11.2020 / 09:52:03
